iter	RMSE
0	2.802078637
1	2.75709072
2	2.696464278
3	2.63468216
4	2.578163084
5	2.520899541
6	2.469338212
7	2.423667818
8	2.3809578
9	2.341051709
10	2.289545161
11	2.247886278
12	2.213877032
13	2.167701771
14	2.14056609
15	2.114649389
16	2.087939208
17	2.062052406
18	2.030708516
19	2.00476197
20	1.97967572
21	1.955180356
22	1.933388859
23	1.906506312
24	1.88498597
25	1.864287697
26	1.843899786
27	1.827560856
28	1.8092523
29	1.794396893
30	1.777209939
31	1.763961833
32	1.747649778
33	1.736164659
34	1.722737899
35	1.70906736
36	1.69758637
37	1.685373777
38	1.676529399
39	1.667847435
40	1.655994636
41	1.648823986
42	1.640822696
43	1.629137483
44	1.62107955
45	1.61063119
46	1.60388654
47	1.594117618
48	1.585818176
49	1.579859485
50	1.575398396
51	1.571795995
52	1.566481071
53	1.556321183
54	1.548398775
55	1.544004592
56	1.538457554
57	1.53244542
58	1.52681223
59	1.519149796
60	1.512164395
61	1.507429088
62	1.503675904
63	1.499988305
64	1.496879141
65	1.493798565
66	1.489975509
67	1.484908048
68	1.477816588
69	1.476478758
70	1.47256662
71	1.4712486
72	1.467466453
73	1.461252521
74	1.459634002
75	1.455200891
76	1.45172871
77	1.447177656
78	1.442649294
79	1.439274688
80	1.437275414
81	1.432297761
82	1.42989519
83	1.426319724
84	1.42448331
85	1.421548265
86	1.416884919
87	1.414411918
88	1.41179255
89	1.407022177
90	1.405267876
91	1.399710787
92	1.396331295
93	1.391920194
94	1.390919288
95	1.38950036
96	1.387190538
97	1.384685603
98	1.382810921
99	1.380210405
100	1.377269653
101	1.374739671
102	1.374373267
103	1.372937701
104	1.370845471
105	1.368477404
106	1.366396622
107	1.364655665
108	1.3628528
109	1.359861123
110	1.359241027
111	1.356575164
112	1.35266623
113	1.350385549
114	1.348911416
115	1.34586814
116	1.341727203
117	1.339189577
118	1.335514613
119	1.334410209
120	1.333303141
121	1.330797797
122	1.32948245
123	1.326570085
124	1.322424542
125	1.322051428
126	1.318795785
127	1.315939574
128	1.312068856
129	1.31061644
130	1.308734505
131	1.304256184
132	1.299890629
133	1.298006532
134	1.295082805
135	1.293412775
136	1.292209531
137	1.289421269
138	1.286849787
139	1.284652252
140	1.281402569
141	1.279323265
142	1.277942433
143	1.275041593
144	1.274041716
145	1.271859461
146	1.270161516
147	1.268387521
148	1.266099117
149	1.263987275
150	1.260425563
151	1.258079664
152	1.255932702
153	1.253420957
154	1.251571417
155	1.249146441
156	1.246046129
157	1.243751996
158	1.239821364
159	1.238010442
160	1.236587406
161	1.234418395
162	1.233136356
163	1.231538295
164	1.228748524
165	1.227585676
166	1.225425058
167	1.22368889
168	1.222366382
169	1.219366378
170	1.218856623
171	1.21588883
172	1.213404196
173	1.211495889
174	1.209900586
175	1.207963972
176	1.206940916
177	1.206144938
178	1.202614999
179	1.201250451
180	1.19951545
181	1.197354974
182	1.195185463
183	1.193341349
184	1.191875398
185	1.189192152
186	1.187141755
187	1.184937225
188	1.183451975
189	1.180292855
190	1.176778546
191	1.174152907
192	1.172422523
193	1.170952328
194	1.167907717
195	1.166230146
196	1.163466624
197	1.160934287
198	1.159226845
199	1.158037905
200	1.155982437
201	1.15318469
202	1.150547253
203	1.148388749
204	1.146982856
205	1.145850809
206	1.144055864
207	1.142374515
208	1.141269798
209	1.139428882
210	1.137490483
211	1.13547804
212	1.134304488
213	1.131435596
214	1.129069723
215	1.127740259
216	1.125900453
217	1.124308325
218	1.122409724
219	1.119919353
220	1.118706101
221	1.116918139
222	1.115417449
223	1.113718964
224	1.111342792
225	1.109404806
226	1.107499678
227	1.105941772
228	1.104258625
229	1.102687507
