iter	Passed	Remaining
0	6	6490
1	9	4852
2	16	5624
3	24	6157
4	31	6291
5	39	6575
6	47	6721
7	53	6637
8	60	6716
9	68	6782
10	76	6839
11	86	7095
12	93	7111
13	100	7093
14	107	7049
15	114	7032
16	121	7022
17	127	6976
18	134	6952
19	141	6924
20	148	6939
21	155	6931
22	162	6918
23	169	6884
24	175	6857
25	182	6837
26	189	6811
27	195	6784
28	201	6750
29	208	6734
30	216	6780
31	227	6885
32	235	6910
33	246	6991
34	254	7025
35	262	7033
36	269	7018
37	279	7066
38	286	7064
39	293	7036
40	299	7007
41	306	6987
42	313	6976
43	336	7305
44	344	7307
45	352	7315
46	360	7302
47	381	7570
48	388	7547
49	399	7598
50	408	7593
51	416	7601
52	425	7595
53	432	7571
54	438	7541
55	445	7510
56	452	7478
57	458	7450
58	465	7424
59	472	7397
60	478	7367
61	485	7339
62	492	7328
63	499	7299
64	506	7282
65	513	7260
66	519	7237
67	527	7223
68	535	7225
69	540	7177
70	547	7165
71	549	7087
72	557	7080
73	565	7082
74	569	7020
75	577	7015
76	594	7122
77	603	7131
78	612	7140
79	621	7147
80	630	7150
81	659	7385
82	671	7424
83	683	7454
84	694	7472
85	772	8209
86	792	8314
87	805	8343
88	825	8447
89	843	8524
90	876	8759
91	896	8845
92	907	8845
93	917	8841
94	923	8797
95	933	8791
96	972	9051
97	983	9052
98	995	9060
99	1012	9110
100	1024	9118
101	1031	9081
102	1047	9118
103	1066	9186
104	1076	9174
105	1086	9161
106	1096	9150
107	1105	9129
108	1117	9133
109	1127	9122
110	1133	9077
111	1142	9057
112	1152	9046
113	1161	9027
114	1170	9011
115	1181	9001
116	1190	8987
117	1200	8973
118	1211	8968
119	1223	8975
120	1232	8956
121	1240	8929
122	1248	8903
123	1256	8879
124	1278	8949
125	1284	8909
126	1293	8888
127	1301	8866
128	1321	8922
129	1327	8886
130	1336	8864
131	1344	8838
132	1351	8809
133	1359	8782
134	1365	8751
135	1372	8718
136	1379	8690
137	1387	8667
138	1396	8648
139	1405	8632
140	1412	8606
141	1419	8577
142	1425	8545
143	1432	8515
144	1439	8485
145	1446	8460
146	1452	8431
147	1459	8403
148	1467	8380
149	1476	8366
150	1484	8345
151	1493	8331
152	1501	8313
153	1510	8295
154	1518	8278
155	1527	8266
156	1539	8268
157	1556	8292
158	1570	8304
159	1582	8309
160	1596	8317
161	1609	8326
162	1624	8339
163	1637	8347
164	1648	8342
165	1660	8344
166	1670	8331
167	1683	8335
168	1692	8321
169	1703	8318
170	1708	8281
171	1718	8275
172	1733	8285
173	1743	8274
174	1764	8320
175	1774	8309
176	1784	8297
177	1793	8282
178	1803	8272
179	1812	8256
180	1823	8252
181	1832	8237
182	1841	8221
183	1851	8209
184	1860	8198
185	1869	8183
186	1880	8176
187	1902	8218
188	1912	8205
189	1923	8199
190	1933	8187
191	1942	8174
192	1954	8172
193	1964	8160
194	1974	8152
195	1985	8143
196	1994	8131
197	2004	8120
198	2013	8105
199	2022	8088
200	2040	8110
201	2047	8088
202	2055	8070
203	2063	8050
204	2071	8033
205	2079	8016
206	2087	7996
207	2094	7973
208	2101	7952
209	2108	7933
210	2118	7922
211	2129	7917
212	2143	7921
213	2156	7920
214	2166	7909
215	2175	7897
216	2184	7883
217	2194	7871
218	2204	7863
219	2215	7855
220	2224	7841
221	2245	7870
222	2260	7875
223	2273	7874
224	2293	7900
225	2308	7904
226	2325	7918
227	2338	7918
228	2348	7906
229	2358	7897
230	2366	7878
231	2373	7856
232	2379	7834
233	2386	7811
234	2393	7791
235	2403	7781
236	2432	7831
237	2442	7819
238	2451	7807
239	2461	7793
240	2469	7778
241	2478	7763
242	2492	7763
243	2501	7750
244	2511	7738
245	2521	7727
246	2529	7710
247	2538	7698
248	2548	7687
249	2560	7680
250	2568	7665
251	2576	7647
252	2584	7632
253	2593	7618
254	2603	7605
255	2612	7592
256	2622	7581
257	2632	7570
258	2640	7553
259	2649	7539
260	2655	7517
261	2661	7498
262	2669	7480
263	2676	7460
264	2682	7441
265	2690	7423
266	2697	7405
267	2704	7387
268	2711	7369
269	2718	7350
270	2724	7330
271	2732	7312
272	2744	7307
273	2750	7288
274	2757	7268
275	2762	7247
276	2769	7228
277	2776	7210
278	2782	7191
279	2790	7176
280	2798	7159
281	2804	7141
282	2819	7142
283	2827	7128
284	2835	7113
285	2843	7099
286	2851	7084
287	2859	7069
288	2867	7053
